station,date,Average
Yang Ming,2021-12-01,17.86956522
Yang Ming,2021-12-02,10
Yang Ming,2021-12-03,11
Yang Ming,2021-12-04,11.41666667
Yang Ming,2021-12-05,2.791666667
Yang Ming,2021-12-06,3.916666667
Yang Ming,2021-12-07,6.916666667
Yang Ming,2021-12-08,8.782608696
Yang Ming,2021-12-09,7.625
Yang Ming,2021-12-10,7.208333333
Yang Ming,2021-12-11,5
Yang Ming,2021-12-12,4.5
Yang Ming,2021-12-13,4.043478261
Yang Ming,2021-12-14,4.416666667
Yang Ming,2021-12-15,2.791666667
Yang Ming,2021-12-16,8.458333333
Yang Ming,2021-12-17,10.91666667
Yang Ming,2021-12-18,9.416666667
Yang Ming,2021-12-19,6.916666667
Yang Ming,2021-12-20,6.208333333
Yang Ming,2021-12-21,2.260869565
Yang Ming,2021-12-22,3.708333333
Yang Ming,2021-12-23,4.125
Yang Ming,2021-12-24,4.958333333
Yang Ming,2021-12-25,6.25
Yang Ming,2021-12-26,2.25
Yang Ming,2021-12-27,3.041666667
Yang Ming,2021-12-28,2.869565217
Yang Ming,2021-12-29,4.217391304
Yang Ming,2021-12-30,22.45833333
Yang Ming,2021-12-31,10.41666667
